atis_aircraft,atis_airfare,atis_ground_fare	atis_aircraft,atis_airfare,atis_ground_fare
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-fromloc.city_name	B-fromloc.city_name	
O	O	
B-toloc.city_name	B-toloc.city_name	
O	O	
O	O	
B-depart_time.time_relative	B-depart_time.time_relative	
B-depart_time.time	B-depart_time.period_of_day	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-fromloc.city_name	B-fromloc.city_name	
O	O	
B-toloc.city_name	B-toloc.city_name	
I-toloc.city_name	I-toloc.city_name	
B-round_trip	B-round_trip	
I-round_trip	I-round_trip	
O	O	
B-airline_code	B-airline_code	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-transport_type	B-transport_type	
O	O	
O	O	
B-city_name	B-city_name	


atis_capacity,atis_flight,atis_flight_time	atis_capacity,atis_day_name,atis_flight_time
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-aircraft_code	B-aircraft_code	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-fromloc.city_name	B-fromloc.city_name	
O	O	
B-toloc.city_name	B-toloc.city_name	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-flight_time	B-flight_time	
I-flight_time	I-flight_time	
O	O	
B-fromloc.city_name	B-fromloc.city_name	
O	O	
B-toloc.city_name	B-toloc.city_name	
I-toloc.city_name	I-toloc.city_name	


atis_airport,atis_flight,atis_ground_fare,atis_ground_service	atis_airport,atis_flight,atis_ground_fare
O	O	
B-city_name	B-state_name	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-fromloc.city_name	B-fromloc.city_name	
O	O	
B-toloc.city_name	B-toloc.city_name	
O	O	
B-depart_date.month_name	B-depart_date.month_name	
B-depart_date.day_number	B-depart_date.day_number	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-city_name	B-city_name	


atis_ground_service,atis_meal	atis_city,atis_ground_service,atis_meal
O	O	
B-city_name	B-city_name	
O	O	
O	O	
O	O	
O	O	
O	O	
B-city_name	B-city_name	
O	O	
O	O	
B-meal	B-meal	
O	O	
O	O	
O	O	
B-airline_code	B-airline_code	
B-flight_number	B-flight_number	
O	O	
O	O	
O	O	
O	O	
B-toloc.city_name	B-toloc.city_name	
I-toloc.city_name	I-toloc.city_name	
O	O	
B-arrive_time.time	B-arrive_time.time	
I-arrive_time.time	I-arrive_time.time	


atis_meal,atis_quantity	atis_meal,atis_quantity
O	O	
B-meal	B-meal	
O	O	
O	O	
O	O	
B-airline_name	B-airline_name	
O	O	
B-flight_number	B-flight_number	
B-flight_number	I-flight_number	
O	O	
B-fromloc.city_name	B-fromloc.city_name	
O	O	
B-toloc.city_name	B-toloc.city_name	
O	O	
O	O	
O	O	
O	O	
B-airline_name	B-airline_name	
I-airline_name	I-airline_name	
I-airline_name	I-airline_name	
O	O	
O	O	
O	B-aircraft_code	


atis_airfare,atis_capacity	atis_airfare,atis_capacity
O	O	
O	O	
O	O	
B-cost_relative	B-cost_relative	
B-round_trip	B-round_trip	
I-round_trip	I-round_trip	
O	O	
O	O	
B-fromloc.city_name	B-fromloc.city_name	
I-fromloc.city_name	I-fromloc.city_name	
O	O	
B-toloc.city_name	B-toloc.city_name	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	B-aircraft_code	
O	O	
O	O	


atis_flight,atis_flight_no	atis_day_name,atis_flight_no
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-fromloc.city_name	B-fromloc.city_name	
O	O	
B-toloc.city_name	B-toloc.city_name	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-fromloc.city_name	B-fromloc.city_name	
O	O	
B-toloc.city_name	B-toloc.city_name	


atis_city,atis_distance	atis_city,atis_distance
O	O	
O	O	
O	O	
B-airline_name	B-airline_name	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-fromloc.airport_name	B-fromloc.airport_name	
I-fromloc.airport_name	I-fromloc.airport_name	
I-fromloc.airport_name	I-fromloc.airport_name	
I-fromloc.airport_name	I-fromloc.airport_name	
O	O	
B-toloc.city_name	B-toloc.city_name	
I-toloc.city_name	I-toloc.city_name	
O	O	


atis_aircraft,atis_airport,atis_quantity	atis_aircraft,atis_airport,atis_quantity
O	O	
O	O	
O	O	
O	O	
B-aircraft_code	B-aircraft_code	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-airline_name	B-airline_name	
I-airline_name	I-airline_name	
O	O	
O	O	
O	O	
O	B-aircraft_code	


atis_airfare,atis_flight_no	atis_airfare,atis_flight_no
O	O	
O	O	
O	O	
O	O	
O	O	
B-fromloc.city_name	B-fromloc.city_name	
O	O	
B-toloc.city_name	B-toloc.city_name	
O	O	
O	O	
O	O	
O	O	
O	O	
B-fromloc.city_name	B-fromloc.city_name	
O	O	
B-toloc.city_name	B-toloc.city_name	
O	O	
B-airline_name	B-airline_name	


atis_airport,atis_flight,atis_quantity	atis_airport,atis_city,atis_quantity
O	O	
B-city_name	B-state_name	
O	O	
O	O	
O	O	
B-city_name	B-city_name	
O	O	
O	O	
O	O	
B-airline_name	B-airline_name	
I-airline_name	I-airline_name	
I-airline_name	I-airline_name	
O	O	
O	O	
O	O	
O	B-aircraft_code	


atis_flight,atis_quantity	atis_flight,atis_quantity
O	O	
O	O	
O	O	
B-fromloc.city_name	B-fromloc.city_name	
O	O	
B-toloc.city_name	B-toloc.city_name	
O	O	
O	O	
O	O	
B-airline_name	B-airline_name	
I-airline_name	I-airline_name	
I-airline_name	I-airline_name	
O	O	
O	O	
O	B-aircraft_code	


atis_city,atis_quantity	atis_city,atis_quantity
O	O	
O	O	
O	O	
B-airline_name	B-airline_name	
O	O	
O	O	
O	O	
O	O	
O	O	
B-airline_name	B-airline_name	
I-airline_name	I-airline_name	
I-airline_name	I-airline_name	
O	O	
O	O	
O	B-aircraft_code	


atis_abbreviation,atis_airport	atis_abbreviation,atis_airport
O	O	
O	O	
O	O	
O	O	
O	O	
B-fare_basis_code	B-booking_class	
O	O	
O	O	
O	O	
O	O	


atis_ground_fare	atis_ground_fare
O	O	
O	O	
O	O	
B-transport_type	B-transport_type	
O	O	
O	O	
B-city_name	B-city_name	
I-city_name	I-city_name	


atis_city	atis_city
O	O	
O	O	
O	O	
B-airline_name	B-airline_name	
O	O	
O	O	


atis_ground_service,atis_meal	atis_ground_service,atis_meal
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-airport_name	B-airport_name	
I-airport_name	I-airport_name	
I-airport_name	I-airport_name	
O	O	
O	O	
