BookRestaurant,GetWeather,PlayMusic	BookRestaurant,GetWeather,PlayMusic
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-sort	B-sort	
I-sort	I-sort	
B-restaurant_type	B-restaurant_type	
O	O	
B-served_dish	B-cuisine	
B-spatial_relation	B-spatial_relation	
B-state	B-state	
B-timeRange	B-timeRange	
I-timeRange	I-timeRange	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-timeRange	B-timeRange	
I-timeRange	I-timeRange	
I-timeRange	I-timeRange	
O	O	
B-city	B-city	
I-city	I-city	
O	O	
B-condition_temperature	B-condition_temperature	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-sort	B-sort	
B-music_item	B-music_item	
O	O	
B-artist	B-artist	
I-artist	I-artist	
O	O	
B-service	B-service	
I-service	I-service	


AddToPlaylist,BookRestaurant,RateBook	AddToPlaylist,GetWeather,RateBook
O	O	
O	O	
B-music_item	B-music_item	
O	O	
O	O	
B-playlist	B-playlist	
I-playlist	I-playlist	
I-playlist	I-playlist	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-country	B-country	
B-timeRange	B-timeRange	
I-timeRange	I-timeRange	
I-timeRange	I-timeRange	
O	O	
O	O	
O	O	
B-condition_temperature	B-condition_temperature	
O	O	
O	O	
B-object_type	B-object_type	
B-object_name	B-object_name	
I-object_name	I-object_name	
I-object_name	I-object_name	
O	O	
O	O	
B-rating_value	B-rating_value	
B-rating_unit	B-rating_unit	
O	O	
B-object_name	O	
I-object_name	O	


BookRestaurant,SearchScreeningEvent	BookRestaurant,SearchScreeningEvent
O	O	
O	O	
O	O	
O	O	
O	O	
B-restaurant_type	B-restaurant_type	
O	O	
O	O	
B-served_dish	B-served_dish	
O	O	
B-city	B-city	
O	O	
O	O	
O	O	
O	O	
B-party_size_number	B-party_size_number	
O	O	
O	O	
B-movie_type	B-movie_type	
I-movie_type	I-movie_type	
O	O	
O	O	
B-spatial_relation	B-spatial_relation	
I-spatial_relation	I-spatial_relation	
I-spatial_relation	I-spatial_relation	
O	O	
O	O	


BookRestaurant,SearchCreativeWork	BookRestaurant,SearchCreativeWork
O	O	
O	O	
O	O	
O	O	
B-spatial_relation	B-spatial_relation	
O	O	
B-city	B-city	
B-timeRange	B-timeRange	
I-timeRange	I-timeRange	
I-timeRange	I-timeRange	
I-timeRange	I-timeRange	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-object_type	B-object_type	
I-object_type	I-object_type	
B-object_name	B-object_name	
I-object_name	I-object_name	
I-object_name	I-object_name	
I-object_name	I-object_name	


PlayMusic,SearchScreeningEvent	PlayMusic,SearchScreeningEvent
O	O	
O	O	
O	O	
O	O	
O	O	
B-music_item	B-music_item	
O	O	
O	O	
B-year	B-year	
O	O	
O	O	
O	O	
O	O	
O	O	
B-movie_name	B-movie_name	
I-movie_name	I-movie_name	
O	O	
O	O	
O	O	
B-object_location_type	B-object_location_type	
I-object_location_type	I-object_location_type	


BookRestaurant,PlayMusic	BookRestaurant,PlayMusic
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-facility	B-facility	
B-restaurant_type	B-restaurant_type	
O	O	
O	O	
O	O	
O	O	
B-party_size_number	B-party_size_number	
O	O	
O	O	
O	O	
B-artist	B-artist	
I-artist	I-artist	


AddToPlaylist,PlayMusic	AddToPlaylist,PlayMusic
O	O	
O	O	
B-music_item	B-music_item	
O	O	
O	O	
B-playlist	B-playlist	
I-playlist	I-playlist	
I-playlist	I-playlist	
O	O	
O	O	
O	O	
O	O	
B-artist	B-artist	
I-artist	I-artist	
B-music_item	B-music_item	
O	O	
O	O	
O	O	
B-sort	B-sort	


AddToPlaylist,RateBook	AddToPlaylist,RateBook
O	O	
B-music_item	B-music_item	
O	O	
B-playlist	B-playlist	
O	O	
O	O	
O	O	
B-object_name	B-object_name	
I-object_name	I-object_name	
I-object_name	I-object_name	
O	O	
B-rating_value	B-rating_value	
B-rating_unit	B-rating_unit	


BookRestaurant	BookRestaurant
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-party_size_number	B-party_size_number	
O	O	
O	O	
B-city	B-city	
B-state	B-state	


SearchCreativeWork	SearchCreativeWork
O	O	
O	O	
B-object_type	B-object_type	
I-object_type	I-object_type	
O	O	
B-object_name	B-object_name	
I-object_name	I-object_name	
I-object_name	I-object_name	


SearchCreativeWork	SearchCreativeWork
O	O	
O	O	
O	O	
O	O	
O	O	
B-object_type	B-object_type	
B-object_name	B-object_name	
I-object_name	I-object_name	


GetWeather	GetWeather
O	O	
O	O	
O	O	
B-timeRange	B-timeRange	
O	O	
O	O	
B-state	B-state	
I-state	I-state	


AddToPlaylist	AddToPlaylist
O	O	
O	O	
B-music_item	B-music_item	
O	O	
B-playlist_owner	B-playlist_owner	
B-playlist	B-playlist	
I-playlist	I-playlist	
O	O	


PlayMusic	SearchCreativeWork
O	O	
O	O	
B-genre	B-object_name	
I-genre	I-object_name	
O	I-object_name	
I-album	I-object_name	


SearchScreeningEvent	SearchScreeningEvent
O	O	
O	O	
O	O	
O	O	
B-object_type	B-object_type	
I-object_type	I-object_type	


SearchScreeningEvent	SearchScreeningEvent
O	O	
O	O	
B-object_type	B-object_type	
I-object_type	I-object_type	


AddToPlaylist,BookRestaurant,SearchScreeningEvent	AddToPlaylist,BookRestaurant,SearchScreeningEvent
O	O	
O	O	
B-artist	B-artist	
I-artist	I-artist	
O	O	
B-playlist_owner	B-playlist_owner	
O	O	
B-playlist	B-playlist	
I-playlist	I-playlist	
I-playlist	I-playlist	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-party_size_number	B-party_size_number	
O	O	
O	O	
B-sort	B-sort	
B-restaurant_type	B-restaurant_type	
B-timeRange	B-timeRange	
I-timeRange	I-timeRange	
I-timeRange	I-timeRange	
I-timeRange	I-timeRange	
O	O	
B-city	B-city	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-object_type	B-object_type	
I-object_type	I-object_type	
O	O	
B-location_name	B-location_name	
I-location_name	I-location_name	


BookRestaurant,SearchScreeningEvent	BookRestaurant,SearchScreeningEvent
B-timeRange	B-timeRange	
I-timeRange	I-timeRange	
I-timeRange	I-timeRange	
I-timeRange	I-timeRange	
O	B-party_size_description	
B-party_size_description	I-party_size_description	
I-party_size_description	I-party_size_description	
I-party_size_description	I-party_size_description	
I-party_size_description	I-party_size_description	
O	O	
O	O	
O	O	
B-cuisine	B-cuisine	
O	O	
O	O	
O	O	
B-restaurant_type	B-restaurant_type	
O	O	
B-spatial_relation	B-spatial_relation	
B-state	B-state	
O	O	
O	O	
O	O	
O	O	
O	O	
B-object_type	B-object_type	
O	O	
B-movie_type	B-movie_type	
B-spatial_relation	B-spatial_relation	
I-spatial_relation	I-spatial_relation	
